Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-74.75,45.02,CORNWALL,6101874,1/16/2025,2025,1,16,†,-3,,-9,,-6,,24,,0,,0,,0,T,0,T,8,,,,,
-74.75,45.02,CORNWALL,6101874,1/17/2025,2025,1,17,†,3,,-7,,-2,,20,,0,,0,,0,,0,,8,,,,,
-74.75,45.02,CORNWALL,6101874,1/18/2025,2025,1,18,†,4,,-0.5,,1.8,,16.2,,0,,2,,0,,2,,7,,,,,
-74.75,45.02,CORNWALL,6101874,1/19/2025,2025,1,19,†,-10,,-13,,-11.5,,29.5,,0,,0,,0,,0,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/20/2025,2025,1,20,†,-13,,-17,,-15,,33,,0,,0,,0,,0,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/21/2025,2025,1,21,†,-10,,-16.5,,-13.3,,31.3,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,1/22/2025,2025,1,22,†,-8.5,,-16,,-12.3,,30.3,,0,,0,,0,,0,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/23/2025,2025,1,23,†,-4.5,,-10,,-7.3,,25.3,,0,,0,,1,,1,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/24/2025,2025,1,24,†,-9,,-14.5,,-11.8,,29.8,,0,,0,,0,,0,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/25/2025,2025,1,25,†,-1,,-18.5,,-9.8,,27.8,,0,,0,,1,,1,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/26/2025,2025,1,26,†,0.5,,-5.5,,-2.5,,20.5,,0,,0,,0,,0,,4,,,,,
-74.75,45.02,CORNWALL,6101874,1/27/2025,2025,1,27,†,1.5,,-5,,-1.8,,19.8,,0,,0,,3,,3,,5,,,,,
-74.75,45.02,CORNWALL,6101874,1/28/2025,2025,1,28,†,-10.5,,-15,,-12.8,,30.8,,0,,0,,8,,8,,10,,,,,
-74.75,45.02,CORNWALL,6101874,1/29/2025,2025,1,29,†,-8,,-11.5,,-9.8,,27.8,,0,,0,,2,,2,,17,,,,,
-74.75,45.02,CORNWALL,6101874,1/30/2025,2025,1,30,†,-8,,-19,,-13.5,,31.5,,0,,0,,0,T,0,T,16,,,,,
-74.75,45.02,CORNWALL,6101874,1/31/2025,2025,1,31,†,-2,,-12.5,,-7.3,,25.3,,0,,0,,1,,1,,15,,,,,
-74.75,45.02,CORNWALL,6101874,2/1/2025,2025,2,1,†,-15,,-17.5,,-16.3,,34.3,,0,,0,,0,,0,,15,,,,,
-74.75,45.02,CORNWALL,6101874,2/2/2025,2025,2,2,†,-9,,-23,,-16,,34,,0,,0,,1,,1,,15,,,,,
-74.75,45.02,CORNWALL,6101874,2/3/2025,2025,2,3,†,1,,-12.5,,-5.8,,23.8,,0,,0,,9,,9,,16,,,,,
-74.75,45.02,CORNWALL,6101874,2/4/2025,2025,2,4,†,-6,,-7,,-6.5,,24.5,,0,,0,,0,,0,,21,,,,,
-74.75,45.02,CORNWALL,6101874,2/5/2025,2025,2,5,†,-12,,-18.5,,-15.3,,33.3,,0,,0,,0,,0,,21,,,,,
-74.75,45.02,CORNWALL,6101874,2/6/2025,2025,2,6,†,-6,,-19,,-12.5,,30.5,,0,,0,,8,,8,,21,,,,,
-74.75,45.02,CORNWALL,6101874,2/7/2025,2025,2,7,†,-4,,-9,,-6.5,,24.5,,0,,0,,0,,0,,28,,,,,
-74.75,45.02,CORNWALL,6101874,2/8/2025,2025,2,8,†,-4,,-10,,-7,,25,,0,,0,,4,,4,,26,,,,,
-74.75,45.02,CORNWALL,6101874,2/9/2025,2025,2,9,†,-3,,-9,,-6,,24,,0,,0,,2,,2,,28,,,,,
-74.75,45.02,CORNWALL,6101874,2/10/2025,2025,2,10,†,-6,,-10,,-8,,26,,0,,0,,0,,0,,28,,,,,
-74.75,45.02,CORNWALL,6101874,2/11/2025,2025,2,11,†,-3,,-10,,-6.5,,24.5,,0,,0,,0,,0,,26,,,,,
-74.75,45.02,CORNWALL,6101874,2/12/2025,2025,2,12,†,-3.5,,-17.5,,-10.5,,28.5,,0,,0,,6,,6,,26,,,,,
-74.75,45.02,CORNWALL,6101874,2/13/2025,2025,2,13,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,2/14/2025,2025,2,14,†,-6.5,,-12,,-9.3,,27.3,,0,,0,,0,,0,,41,,,,,
-74.75,45.02,CORNWALL,6101874,2/15/2025,2025,2,15,†,-5.5,,-15,,-10.3,,28.3,,0,,0,,8,,8,,40,,,,,
-74.75,45.02,CORNWALL,6101874,2/16/2025,2025,2,16,†,-8.5,,-10,,-9.3,,27.3,,0,,0,,19,,19,,52,,,,,
-74.75,45.02,CORNWALL,6101874,2/17/2025,2025,2,17,†,-8,,-15,,-11.5,,29.5,,0,,0,,0,,0,,63,,,,,
-74.75,45.02,CORNWALL,6101874,2/18/2025,2025,2,18,†,-12,,-16.5,,-14.3,,32.3,,0,,0,,0,,0,,58,,,,,
-74.75,45.02,CORNWALL,6101874,2/19/2025,2025,2,19,†,-9.5,,-18,,-13.8,,31.8,,0,,0,,0,,0,,56,,,,,
-74.75,45.02,CORNWALL,6101874,2/20/2025,2025,2,20,†,-7,,-17,,-12,,30,,0,,0,,0,T,0,T,56,,,,,
-74.75,45.02,CORNWALL,6101874,2/21/2025,2025,2,21,†,-8,,-12,,-10,,28,,0,,0,,0,,0,,56,,,,,
-74.75,45.02,CORNWALL,6101874,2/22/2025,2025,2,22,†,-1,,-15,,-8,,26,,0,,0,,2.6,,2.6,,55,,,,,
-74.75,45.02,CORNWALL,6101874,2/23/2025,2025,2,23,†,0,,-4,,-2,,20,,0,,0,,0,,0,,56,,,,,
-74.75,45.02,CORNWALL,6101874,2/24/2025,2025,2,24,†,6.5,,-3.5,,1.5,,16.5,,0,,0,,0,,0,,56,,,,,
-74.75,45.02,CORNWALL,6101874,2/25/2025,2025,2,25,†,5.5,,3,,4.3,,13.7,,0,,3,,0,,3,,45,,,,,
-74.75,45.02,CORNWALL,6101874,2/26/2025,2025,2,26,†,1,,-0.5,,0.3,,17.7,,0,,0,,0,T,0,T,39,,,,,
-74.75,45.02,CORNWALL,6101874,2/27/2025,2025,2,27,†,0,,-7,,-3.5,,21.5,,0,,0,,4,,4,,39,,,,,
-74.75,45.02,CORNWALL,6101874,2/28/2025,2025,2,28,†,2,,-11,,-4.5,,22.5,,0,,0,,5,,5,,42,,,,,
-74.75,45.02,CORNWALL,6101874,3/1/2025,2025,3,1,†,3,,-9,,-3,,21,,0,,0,,0,,0,,47,,,,,
-74.75,45.02,CORNWALL,6101874,3/2/2025,2025,3,2,†,-12.5,,-20,,-16.3,,34.3,,0,,0,,0,,0,,46,,,,,
-74.75,45.02,CORNWALL,6101874,3/3/2025,2025,3,3,†,4,,-19.5,,-7.8,,25.8,,0,,0,,0,,0,,44,,,,,
-74.75,45.02,CORNWALL,6101874,3/4/2025,2025,3,4,†,4,,-5,,-0.5,,18.5,,0,,0,,1,,1,,44,,,,,
-74.75,45.02,CORNWALL,6101874,3/5/2025,2025,3,5,†,7,,0,,3.5,,14.5,,0,,5.6,,0,,5.6,,44,,,,,
-74.75,45.02,CORNWALL,6101874,3/6/2025,2025,3,6,†,4.5,,1.5,,3,,15,,0,,0,,1,,1,,37,,,,,
-74.75,45.02,CORNWALL,6101874,3/7/2025,2025,3,7,†,1,,-8.5,,-3.8,,21.8,,0,,0,,0,,0,,34,,,,,
-74.75,45.02,CORNWALL,6101874,3/8/2025,2025,3,8,†,-1.5,,-8.5,,-5,,23,,0,,0,,0,T,0,T,33,,,,,
-74.75,45.02,CORNWALL,6101874,3/9/2025,2025,3,9,†,3,,-4.5,,-0.8,,18.8,,0,,0,,3,,3,,33,,,,,
-74.75,45.02,CORNWALL,6101874,3/10/2025,2025,3,10,†,8,,-4,,2,,16,,0,,0,,0,,0,,37,,,,,
-74.75,45.02,CORNWALL,6101874,3/11/2025,2025,3,11,†,15,,-2.5,,6.3,,11.7,,0,,0,,0,,0,,33,,,,,
-74.75,45.02,CORNWALL,6101874,3/12/2025,2025,3,12,†,-1,,-9,,-5,,23,,0,,0,,0,,0,,27,,,,,
-74.75,45.02,CORNWALL,6101874,3/13/2025,2025,3,13,†,4,,-9,,-2.5,,20.5,,0,,0,,0,,0,,27,,,,,
-74.75,45.02,CORNWALL,6101874,3/14/2025,2025,3,14,†,14,,-6.5,,3.8,,14.2,,0,,0,,0,,0,,27,,,,,
-74.75,45.02,CORNWALL,6101874,3/15/2025,2025,3,15,†,16,,0,,8,,10,,0,,0,,0,,0,,23,,,,,
-74.75,45.02,CORNWALL,6101874,3/16/2025,2025,3,16,†,18,,7,,12.5,,5.5,,0,,6.8,,0,,6.8,,16,,,,,
-74.75,45.02,CORNWALL,6101874,3/17/2025,2025,3,17,†,2,,-1,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/18/2025,2025,3,18,†,7,,-6,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/19/2025,2025,3,19,†,16,,-1,,7.5,,10.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/20/2025,2025,3,20,†,20,,7.5,,13.8,,4.2,,0,,2,,0,,2,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/21/2025,2025,3,21,†,5,,-4,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/22/2025,2025,3,22,†,9,,-2,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/23/2025,2025,3,23,†,0,,-10,,-5,,23,,0,,0,,0,T,0,T,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/24/2025,2025,3,24,†,5,,-5.5,,-0.3,,18.3,,0,,1.2,,0,T,1.2,,0,T,,,,
-74.75,45.02,CORNWALL,6101874,3/25/2025,2025,3,25,†,4.5,,1,,2.8,,15.2,,0,,0,T,0,,0,T,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/26/2025,2025,3,26,†,4,,-0.5,,1.8,,16.2,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/27/2025,2025,3,27,†,8,,-4,,2,,16,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/28/2025,2025,3,28,†,4,,-5,,-0.5,,18.5,,0,,0,,13,,13,,0,,,,,
-74.75,45.02,CORNWALL,6101874,3/29/2025,2025,3,29,†,-0.5,,-5.5,,-3,,21,,0,,3.2,,0,,3.2,,13,,,,,
-74.75,45.02,CORNWALL,6101874,3/30/2025,2025,3,30,†,3,,-4,,-0.5,,18.5,,0,,9.4,,0,,9.4,,12,,,,,
-74.75,45.02,CORNWALL,6101874,3/31/2025,2025,3,31,†,14.5,,-0.5,,7,,11,,0,,4,,0,,4,,9,,,,,
-74.75,45.02,CORNWALL,6101874,4/1/2025,2025,4,1,†,3,,-2,,0.5,,17.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,4/2/2025,2025,4,2,†,6.5,,-8,,-0.8,,18.8,,0,,17,,0,,17,,0,,,,,
-74.75,45.02,CORNWALL,6101874,4/3/2025,2025,4,3,†,21,,-2,,9.5,,8.5,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,4/4/2025,2025,4,4,†,12,,2.5,,7.3,,10.7,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,4/5/2025,2025,4,5,†,10,,2,,6,,12,,0,,9.8,,0,,9.8,,0,,,,,
-74.75,45.02,CORNWALL,6101874,4/6/2025,2025,4,6,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/7/2025,2025,4,7,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/8/2025,2025,4,8,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/9/2025,2025,4,9,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/10/2025,2025,4,10,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/11/2025,2025,4,11,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/12/2025,2025,4,12,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/13/2025,2025,4,13,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/14/2025,2025,4,14,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/15/2025,2025,4,15,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/16/2025,2025,4,16,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/17/2025,2025,4,17,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/18/2025,2025,4,18,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/19/2025,2025,4,19,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/20/2025,2025,4,20,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/21/2025,2025,4,21,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/22/2025,2025,4,22,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/23/2025,2025,4,23,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/24/2025,2025,4,24,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/25/2025,2025,4,25,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/26/2025,2025,4,26,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/27/2025,2025,4,27,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/28/2025,2025,4,28,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/29/2025,2025,4,29,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,4/30/2025,2025,4,30,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/1/2025,2025,5,1,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/2/2025,2025,5,2,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/3/2025,2025,5,3,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/4/2025,2025,5,4,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/5/2025,2025,5,5,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/6/2025,2025,5,6,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/7/2025,2025,5,7,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/8/2025,2025,5,8,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/9/2025,2025,5,9,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/10/2025,2025,5,10,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/11/2025,2025,5,11,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/12/2025,2025,5,12,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/13/2025,2025,5,13,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/14/2025,2025,5,14,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/15/2025,2025,5,15,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/16/2025,2025,5,16,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/17/2025,2025,5,17,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/18/2025,2025,5,18,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/19/2025,2025,5,19,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/20/2025,2025,5,20,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/21/2025,2025,5,21,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/22/2025,2025,5,22,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/23/2025,2025,5,23,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/24/2025,2025,5,24,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/25/2025,2025,5,25,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/26/2025,2025,5,26,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/27/2025,2025,5,27,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/28/2025,2025,5,28,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/29/2025,2025,5,29,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/30/2025,2025,5,30,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,5/31/2025,2025,5,31,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/1/2025,2025,6,1,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/2/2025,2025,6,2,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/3/2025,2025,6,3,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/4/2025,2025,6,4,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/5/2025,2025,6,5,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/6/2025,2025,6,6,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/7/2025,2025,6,7,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/8/2025,2025,6,8,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/9/2025,2025,6,9,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/10/2025,2025,6,10,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/11/2025,2025,6,11,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/12/2025,2025,6,12,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/13/2025,2025,6,13,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/14/2025,2025,6,14,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/15/2025,2025,6,15,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/16/2025,2025,6,16,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/17/2025,2025,6,17,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/18/2025,2025,6,18,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/19/2025,2025,6,19,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/20/2025,2025,6,20,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/21/2025,2025,6,21,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/22/2025,2025,6,22,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/23/2025,2025,6,23,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/24/2025,2025,6,24,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/25/2025,2025,6,25,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/26/2025,2025,6,26,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/27/2025,2025,6,27,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/28/2025,2025,6,28,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/29/2025,2025,6,29,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,6/30/2025,2025,6,30,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/1/2025,2025,7,1,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/2/2025,2025,7,2,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/3/2025,2025,7,3,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/4/2025,2025,7,4,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/5/2025,2025,7,5,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/6/2025,2025,7,6,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/7/2025,2025,7,7,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/8/2025,2025,7,8,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/9/2025,2025,7,9,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/10/2025,2025,7,10,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/11/2025,2025,7,11,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/12/2025,2025,7,12,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/13/2025,2025,7,13,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/14/2025,2025,7,14,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/15/2025,2025,7,15,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/16/2025,2025,7,16,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/17/2025,2025,7,17,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/18/2025,2025,7,18,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/19/2025,2025,7,19,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/20/2025,2025,7,20,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/21/2025,2025,7,21,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/22/2025,2025,7,22,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/23/2025,2025,7,23,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/24/2025,2025,7,24,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/25/2025,2025,7,25,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/26/2025,2025,7,26,,,,,,,,,,,,,,,,,,,,,,,
-74.75,45.02,CORNWALL,6101874,7/27/2025,2025,7,27,,,,,,,,,,,,,,,,,,,,,,,
